Reference,WKT Polygon
AS-017879,"POLYGON ((144.986976784105 -37.8973107709985, 144.986734788612 -37.8972813077871, 144.986773298434 -37.8972578153984, 144.986800202149 -37.8971176935181, 144.986763991378 -37.8970526404428, 144.986756013491 -37.8970324078941, 144.986752945482 -37.8970114483028, 144.986754431612 -37.8969902962833, 144.986760348392 -37.8969693101896, 144.986770199416 -37.8969500135131, 144.986784449176 -37.896932053733, 144.986802391112 -37.8969163199265, 144.986823222175 -37.8969030687026, 144.98684647051 -37.8968929228042, 144.986871903871 -37.89688605849, 144.986898262084 -37.8968828146656, 144.98693303505 -37.8968837700567, 144.987018466799 -37.8968953247301, 144.986945731272 -37.8972776174513, 144.986976784105 -37.8973107709985))"
AS-017880,"POLYGON ((145.001540665386 -37.9433951716536, 145.001564754074 -37.9432578831278, 145.004130575173 -37.943552515438, 145.005513961925 -37.943721340142, 145.005519208969 -37.9438597578264, 145.004144378744 -37.9436942324305, 145.001540665386 -37.9433951716536))"
AS-017881,"POLYGON ((145.002112916174 -37.9032593669146, 145.002122479199 -37.9032127586159, 145.002132330474 -37.9031639022874, 145.002767590865 -37.903241374017, 145.002763758354 -37.9032611346853, 145.003056698665 -37.9033002612857, 145.003076792176 -37.9032006626384, 145.003587702317 -37.9032628623012, 145.003574467838 -37.903327521937, 145.003559805135 -37.9033987358727, 145.003187804242 -37.9033517803614, 145.003173858549 -37.9033880410423, 145.003045580578 -37.9033623433856, 145.003017828741 -37.9033581775682, 145.002746809973 -37.9033411411716, 145.002112916174 -37.9032593669146))"
AS-017882,"POLYGON ((144.992669986915 -37.9075229249322, 144.992712590087 -37.9073071012722, 144.993105501999 -37.9075351308284, 144.99373519404 -37.9078520869786, 144.99367163535 -37.9080397075952, 144.992669986915 -37.9075229249322))"
AS-017883,"POLYGON ((145.036684177448 -37.9480546540743, 145.036894358805 -37.9471230205002, 145.0369821966 -37.9466875102039, 145.037043617752 -37.9463979086194, 145.037214356841 -37.9464177901426, 145.036863290726 -37.9480507949851, 145.036882669744 -37.9480709441386, 145.036775475367 -37.9480621257749, 145.036684177448 -37.9480546540743))"
AS-017884,"POLYGON ((144.993839835091 -37.9083126556669, 144.993850399407 -37.9082545302724, 144.993864791561 -37.9081769148127, 144.995502748963 -37.9084203020164, 144.995492361948 -37.908480323045, 144.995479265994 -37.9085563387015, 144.993839835091 -37.9083126556669))"
AS-017885,"POLYGON ((145.023125096442 -37.9044326409561, 145.023158782496 -37.904240626502, 145.023189286385 -37.9042737614367, 145.02541515617 -37.9045384136349, 145.025455370615 -37.9045146667586, 145.025437475792 -37.9046097104628, 145.025422488901 -37.9046895731547, 145.025409014365 -37.9046745677949, 145.024451428101 -37.904561707293, 145.024276493714 -37.904540836575, 145.023163884653 -37.9044112139545, 145.023125096442 -37.9044326409561))"
AS-017887,"POLYGON ((144.991434560808 -37.9079870286968, 144.99126177278 -37.9079667763204, 144.991329830271 -37.9076139598224, 144.990955082942 -37.9075713342997, 144.990916190597 -37.9075627398954, 144.990878644366 -37.9075506539138, 144.990843005333 -37.9075353562878, 144.990809950716 -37.9075170388178, 144.990779361931 -37.9074958797141, 144.990752257248 -37.907472076602, 144.990728624417 -37.907446079858, 144.990710112359 -37.9074199903292, 144.99069310912 -37.9073886096794, 144.990681325631 -37.9073576786389, 144.990674561468 -37.9073262025022, 144.990672020828 -37.9072941676791, 144.990674027608 -37.9072622105186, 144.990702108457 -37.9071163405461, 144.990876408978 -37.9071352678014, 144.990850853577 -37.9072677535551, 144.990848409789 -37.9072906915852, 144.990850738341 -37.9073138012288, 144.990857520234 -37.9073362659875, 144.990868421766 -37.907357809812, 144.990883464992 -37.9073776220275, 144.990902432344 -37.9073953384501, 144.99092442659 -37.9074104931731, 144.990949000336 -37.9074228082049, 144.99097..."
AS-017886,"POLYGON ((145.002224524065 -37.9122355498969, 145.002294739259 -37.9121838436263, 145.002350680057 -37.912142618837, 145.00375859906 -37.9133681341931, 145.00363020035 -37.9134598571686, 145.003121802811 -37.9130119096185, 145.003063438035 -37.9129745117696, 145.002224524065 -37.9122355498969))"
AS-017888,"POLYGON ((144.997230468133 -37.9029334942881, 144.997429686299 -37.9029223763894, 144.997424797266 -37.9029349095375, 144.997301403659 -37.9035429905187, 144.997143798505 -37.903525168113, 144.997258172415 -37.9029603701065, 144.997257008515 -37.9029529607123, 144.997251336517 -37.9029440327125, 144.997242193091 -37.9029372985438, 144.997230468133 -37.9029334942881))"
AS-017889,"POLYGON ((145.040356890549 -37.961694514572, 145.040395844969 -37.9616720938265, 145.041373581432 -37.9617921964596, 145.041402128303 -37.9618230412173, 145.041446533089 -37.9616468817601, 145.041407576593 -37.9616693929397, 145.040430410546 -37.9615493001091, 145.040401977965 -37.9615184570241, 145.040356890549 -37.961694514572))"
AS-017890,"POLYGON ((145.03951014053 -37.9623500582606, 145.039689869401 -37.9623714381623, 145.039713558569 -37.9622510767637, 145.039961255007 -37.9617753343213, 145.040001861902 -37.9615623445568, 145.040223094242 -37.9604335355836, 145.040241617985 -37.9603447188956, 145.040266679003 -37.9602112231602, 145.040086613856 -37.9601898385848, 145.039783364634 -37.9617362325155, 145.03953724087 -37.9622127217252, 145.03951014053 -37.9623500582606))"
AS-017891,"POLYGON ((145.032590472226 -37.9883681506891, 145.032615594902 -37.9882333066906, 145.034198860926 -37.9884129868918, 145.035058713419 -37.9885130608986, 145.035032962664 -37.9886460025239, 145.032590472226 -37.9883681506891))"
AS-017892,"POLYGON ((145.011857990049 -37.9304089447109, 145.011965500572 -37.9304218461126, 145.012076301814 -37.9304350733785, 145.012049098989 -37.930452366643, 145.011990968543 -37.9307519233778, 145.011990084151 -37.9307678590844, 145.011993644667 -37.9307835094453, 145.012001553357 -37.9307982420087, 145.012008497102 -37.930806559979, 145.012561992954 -37.9313733747883, 145.012580175216 -37.9313953099938, 145.012598272292 -37.9314246333254, 145.012612009048 -37.9314553248523, 145.01262173393 -37.9314871201129, 145.012626665417 -37.9315194652042, 145.012627379403 -37.9315520995064, 145.012624921815 -37.9315757586725, 145.012390427758 -37.9328683952652, 145.012196947135 -37.9328409745192, 145.012223296514 -37.9328258296137, 145.012330445198 -37.9322440447259, 145.012362770363 -37.9320703954214, 145.01245644168 -37.9315538073051, 145.012456982989 -37.9315294849477, 145.012452830064 -37.9315062547901, 145.012444328932 -37.9314839424453, 145.012431583618 -37.9314629101368, 145.012414255379 -37.9314430620229, 145.012..."
AS-017893,"POLYGON ((145.035032962664 -37.9886460025239, 145.035058713419 -37.9885130608986, 145.037137502527 -37.9887493744641, 145.037105045206 -37.9889033819272, 145.037092224929 -37.9888802783662, 145.035032962664 -37.9886460025239))"
AS-017894,"POLYGON ((144.999013709096 -37.9058205396724, 144.999293904844 -37.9059021743637, 144.999279022005 -37.9059015608149, 144.999264385062 -37.9059044660027, 144.999251476784 -37.9059107349084, 144.999241564774 -37.9059197582706, 144.999235355535 -37.9059306469359, 144.999187478558 -37.9063167043744, 144.999187842911 -37.9063410421178, 144.999192534602 -37.9063651831005, 144.999201911769 -37.9063885025944, 144.999215420632 -37.9064104504801, 144.999232616215 -37.9064306587219, 144.999253856654 -37.9064485025905, 144.999277782612 -37.9064637787344, 144.999304517534 -37.9064761287838, 144.999333161697 -37.90648517697, 144.99936303543 -37.9064908216173, 144.999393802554 -37.9064928767747, 144.999424551146 -37.906491417052, 144.999454828901 -37.9064863446417, 144.999480509004 -37.9064788510102, 144.999976097632 -37.9062507198982, 144.999986133042 -37.9062413381043, 144.999992240711 -37.9062299970881, 144.999994164003 -37.9062177738899, 144.999991421353 -37.9062056516092, 144.999984326987 -37.9061946268727, 144.999..."
AS-017895,"POLYGON ((145.027059485821 -37.9380823181015, 145.027092370433 -37.9379503980026, 145.02746691513 -37.9379944386057, 145.027767138287 -37.9380221823633, 145.030360657991 -37.9383210312659, 145.030377742442 -37.9383204161809, 145.030394806942 -37.9383162862029, 145.030409913166 -37.9383087891086, 145.03042224813 -37.9382985421034, 145.03043076897 -37.9382862486602, 145.030435228979 -37.9382726255835, 145.03038755338 -37.9385112676733, 145.030387246107 -37.9384972043031, 145.030382258813 -37.938483693383, 145.030373024803 -37.9384715532199, 145.030360546062 -37.9384616116426, 145.030345030823 -37.9384545930717, 145.030328064178 -37.9384507944, 145.028543788375 -37.9382499505003, 145.027182614178 -37.9380946566279, 145.027059485821 -37.9380823181015))"
AS-017897,"POLYGON ((145.001315724089 -37.9312974511584, 145.001327307154 -37.9312310518515, 145.001340368029 -37.9311562968145, 145.002335783191 -37.9312783718887, 145.002422481563 -37.9312909285671, 145.002396098077 -37.9314291698867, 145.002310253253 -37.9314187003638, 145.001315724089 -37.9312974511584))"
AS-017896,"POLYGON ((145.023926491609 -37.9377466687941, 145.023943356068 -37.9376608005011, 145.023961190328 -37.9375684600902, 145.023985359593 -37.9375922063622, 145.02586835627 -37.9378064011795, 145.027092370433 -37.9379503980026, 145.027059485821 -37.9380823181015, 145.026921153101 -37.9380683726496, 145.026903831083 -37.9380651082255, 145.026218449426 -37.9379860215823, 145.025953150638 -37.937954354169, 145.025085428356 -37.9378561598357, 145.024860591707 -37.9378304862116, 145.023958284937 -37.9377279179321, 145.023926491609 -37.9377466687941))"
AS-017898,"POLYGON ((145.002396098077 -37.9314291698867, 145.002422481563 -37.9312909285671, 145.002507028978 -37.9313030881895, 145.003522599481 -37.931424684463, 145.003497126154 -37.9315587961354, 145.002482964002 -37.9314397468036, 145.002396098077 -37.9314291698867))"
AS-017900,"POLYGON ((145.023391229972 -37.9722035455797, 145.023415389465 -37.9720710301767, 145.02627041773 -37.9724044750392, 145.026017853286 -37.9725047703765, 145.023391229972 -37.9722035455797))"
AS-017899,"POLYGON ((145.012811700231 -37.9130210693202, 145.013012781487 -37.9130853846448, 145.012628193319 -37.9135125312886, 145.012614768868 -37.9135295168476, 145.012605396277 -37.9135481028397, 145.012600431185 -37.9135677545723, 145.01259726946 -37.9136091549474, 145.012589810304 -37.9136284941967, 145.012578180728 -37.9136464112407, 145.012562731517 -37.9136625515364, 145.012543939276 -37.9136761120813, 145.012522491037 -37.9136869242465, 145.012498853709 -37.9136945453337, 145.012473946569 -37.913698630404, 145.012448449376 -37.9136992810575, 145.012423278983 -37.9136962424329, 145.012399226422 -37.9136897081281, 145.012376739209 -37.9136799560555, 145.012357063164 -37.9136671874977, 145.012340527252 -37.9136518585985, 145.012327687836 -37.9136344293438, 145.012318871455 -37.9136154459532, 145.012314629618 -37.9135955485638, 145.012314717955 -37.9135753638659, 145.01231946058 -37.9135555281538, 145.012328499427 -37.9135366661959, 145.012341478855 -37.913519312684, 145.012358268195 -37.9135040962278, 145.012..."
AS-017901,"POLYGON ((145.017114806641 -37.971463996885, 145.017141250496 -37.9713273760534, 145.019712382408 -37.971641052615, 145.020334384863 -37.971713435825, 145.0203055451 -37.9718504676749, 145.017114806641 -37.971463996885))"
AS-017902,"POLYGON ((145.0203055451 -37.9718504676749, 145.020334384863 -37.971713435825, 145.021390540434 -37.971833493917, 145.021570271329 -37.9718554424372, 145.023415389465 -37.9720710301767, 145.023391229972 -37.9722035455797, 145.021560397576 -37.9719942355785, 145.0203055451 -37.9718504676749))"
